,sampleId,sampleGroup,SVA,Alu,HERV,PolyA,total,L1
2990,ce9c0d52-542b-4586-99b0-4c409582e76d,LUAD,0.0,22.0,1.0,0.0,23,0.0
2991,ce9cf02b-562d-46bd-ac54-2261b6c60d87,LUAD,1.0,19.0,3.0,1.0,24,0.0
2992,d0531240-d900-495f-89a1-bbccf1bd479e,LUAD,1.0,15.0,2.0,1.0,19,0.0
2993,d2879610-19e6-44bc-ab79-44146343f019,LUAD,1.0,48.0,5.0,0.0,57,3.0
2994,d2931db4-d5be-4905-a887-93accc0c5e3d,LUAD,1.0,12.0,2.0,0.0,15,0.0
2995,d29989bb-7681-4820-b969-aada70be39db,LUAD,3.0,66.0,7.0,1.0,79,2.0
2996,d32eb093-dd03-473f-90e6-e5a4ee477789,LUAD,0.0,14.0,1.0,1.0,18,2.0
2997,d34a6605-5d94-4fea-a455-7e9e70495953,LUAD,0.0,4.0,0.0,0.0,4,0.0
2998,d3e85ea0-7219-4336-8e8e-df1097d42f21,LUAD,1.0,15.0,2.0,1.0,21,2.0
2999,d47d77de-a849-429e-b020-2518cbc120d7,LUAD,0.0,9.0,0.0,1.0,10,0.0
3000,d4b12c11-8161-42e2-b163-e28c5ffe30ba,LUAD,2.0,14.0,1.0,0.0,20,3.0
3001,d4de8456-640a-406a-af98-35dbd1b5574d,LUAD,3.0,13.0,3.0,1.0,25,5.0
3002,d542610a-b84e-4da2-8d68-552b19f068e6,LUAD,0.0,31.0,2.0,1.0,37,3.0
3003,d6cbd9fc-6e44-46cc-a263-e53212e6229e,LUAD,1.0,41.0,2.0,0.0,45,1.0
3004,d73b26d5-7084-4407-8dcd-7dec9f13e479,LUAD,0.0,17.0,1.0,1.0,21,2.0
3005,d73da7df-1fb8-40d4-87a5-117e001d2609,LUAD,1.0,68.0,1.0,2.0,80,8.0
3006,d7677229-c681-4828-8a1b-30a924a8e8dd,LUAD,0.0,15.0,0.0,2.0,18,1.0
3007,d7877ffb-2a43-468a-a890-9a4807a548fa,LUAD,1.0,14.0,2.0,0.0,17,0.0
3008,d7a83c9f-b4b0-4129-aa50-54094732785d,LUAD,1.0,40.0,2.0,2.0,46,1.0
3009,d9851c1d-cfe3-413f-b4c7-ccb5398d1790,LUAD,0.0,23.0,1.0,0.0,25,1.0
3010,d9e776ec-8263-4bda-ab94-589017c7c226,LUAD,0.0,11.0,2.0,1.0,18,4.0
3011,da14dad0-26b5-4184-9afb-c54476329716,LUAD,0.0,24.0,2.0,0.0,28,2.0
3012,da247788-3729-450a-a9e5-06b114afa239,LUAD,6.0,40.0,5.0,1.0,56,4.0
3013,de7fc954-007e-41be-8c06-18f196fec817,LUAD,0.0,22.0,3.0,1.0,26,0.0
3014,deceb4ca-8771-4ddf-a3c5-03977f81a6ac,LUAD,0.0,6.0,0.0,2.0,8,0.0
3015,df120a93-f19c-4b9a-b1f3-fe375e62bbd1,LUAD,2.0,17.0,1.0,1.0,21,0.0
3016,df61d989-e24b-40f7-9d3f-c68a2bf23d81,LUAD,0.0,12.0,0.0,0.0,12,0.0
3017,df6987d0-b191-46ae-adf3-60f18cc698f0,LUAD,0.0,22.0,8.0,0.0,34,4.0
3018,dfae6e1d-6d8a-4b12-a313-e2ec3e7ba3e0,LUAD,2.0,29.0,2.0,1.0,36,2.0
3019,dfce241c-ccba-45f7-afe5-e3f984214f6e,LUAD,0.0,11.0,1.0,0.0,12,0.0
3020,dfe5ef4d-e0a0-4e37-b054-a2b597a963ea,LUAD,5.0,37.0,5.0,3.0,54,4.0
3021,e04e75df-fdd1-4954-903e-919bf9a500ed,LUAD,0.0,51.0,8.0,2.0,66,5.0
3022,e0691124-b3ca-4b91-b79c-9af4bc6dfa39,LUAD,1.0,14.0,3.0,1.0,20,1.0
3023,e11a1099-6817-4a84-91f4-01f475d84b52,LUAD,2.0,42.0,0.0,2.0,54,8.0
3024,e1587534-42e9-42b2-8572-9dfe933f3f39,LUAD,0.0,15.0,0.0,1.0,17,1.0
3025,e18aa688-4d94-4397-90d3-c31e9535b6dc,LUAD,0.0,20.0,4.0,0.0,28,4.0
3026,e1ba8a84-12a4-45fe-a6d7-cc16b9af48ad,LUAD,0.0,15.0,3.0,0.0,18,0.0
